Projekt Echo

Enigma Unit

Cipher Cell

Black Chamber

Echo Squad

Matrix Group

Turing Force

Omega Node

Shadow Crypt

Delta Link

Binary Cell

Signal Six

Void Runners

Neural Net

Silicon Veil

Proxy Force

Ghost Code

Prism Group

Logic Gate

Vector Unit

Static Noise

Cyber Pulse

Bit Stream

Data Miners

Key Masters

Firewall Zero

Zero Day Cell

Dark Fiber

Uplink Node

Macro Force

Kernel Squad

Root Access

Protocol X

Iron Crypt

Titan Link

Nexus Nine

Quantum Cell

Helix Group

Atlas Node

Aurora Signal

Zenith Code

Midnight Net

Neon Cipher

Cobalt Link

Amber Ghost

Silver Stream

Gold Key

Ruby Protocol

Emerald Node

Sapphire Net

Diamond Crypt

Sekcja Omega

Wydzial X

Grupa Feniks

Inicjatywa Delta

Zespol Alfa

Komorka 7

Syndykat

Baza Prometeusz

Protokol Golem
